ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2016-01-31,12771,2080,5495,233,230,8565,328,1358,1033,1733,117,46,384,111,433,372,775,18,10,2,0,1766,745,1596,495,67,129,224
2016-02-01,10823,1339,2908,193,382,8540,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,0,0,0,0,0,0,0,1335,772,1099,92,48,672,196,294,367,594,13,17,31,6,2078,670,892,889,158,604,205
2016-02-03,10686,1368,2382,236,302,8903,231,855,603,959,102,27,302,68,232,240,423,23,15,6,5,896,498,773,293,102,78,148
2016-02-04,7550,1172,1930,172,114,6356,150,789,724,1322,27,2,143,19,187,279,445,5,2,12,2,808,438,782,227,30,86,121
2016-02-05,5631,959,2186,191,43,4017,153,802,628,1167,43,5,181,34,203,230,381,24,0,27,1,727,325,547,236,9,125,135
2016-02-06,8644,1614,4161,457,151,5201,288,1315,818,1539,116,20,363,95,502,335,770,28,2,32,5,1570,761,1364,405,75,208,279
2016-02-07,12994,2153,6940,419,152,7157,479,1795,832,1739,130,44,586,128,646,413,971,40,3,16,29,2467,1261,2405,840,104,160,219
2016-02-08,0,35035,17588,1125,777,13476,2069,0,8263,6915,190,38,164,956,0,4880,4880,0,0,0,0,740,11353,10087,971,250,772,13
2016-02-09,16545,5318,14942,178,76,6253,414,4180,2298,5254,148,68,788,220,2320,1266,3513,52,4,15,2,4856,3203,6257,764,96,291,651
2016-02-10,17294,4227,11777,321,247,8925,251,3285,2013,4428,110,32,593,135,1898,1095,2944,32,6,11,0,3731,2770,5212,738,56,196,299
2016-02-11,10750,2241,4394,136,85,8021,355,986,1077,1555,65,33,289,121,423,463,832,29,7,18,0,1415,1047,1613,419,29,159,242
2016-02-12,9615,1547,2875,55,121,7865,246,529,626,855,34,14,240,12,142,135,243,8,14,12,0,923,314,525,269,126,142,175
2016-02-13,13589,2316,6661,114,190,8593,347,1652,1544,2406,120,52,476,142,658,517,1115,8,6,43,3,2109,1154,2139,316,124,281,403
2016-02-14,11360,1915,4449,249,179,8238,160,977,883,1389,57,22,340,52,376,297,569,36,11,57,0,1555,1170,1665,284,74,274,428
2016-02-15,10866,1779,3433,163,190,8646,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,0,0,0,0,0,0,0,1633,908,1325,55,60,958,143,440,406,698,50,35,57,6,2809,987,1467,679,236,739,675
2016-02-17,13726,2754,4910,208,239,10853,270,827,1201,1643,54,28,296,7,389,443,759,40,13,20,0,1489,937,1678,414,69,169,96
2016-02-18,12364,2787,5053,357,202,9063,476,1067,1146,1703,66,49,316,79,324,549,795,37,24,12,5,1314,1251,1862,265,115,131,192
2016-02-19,10324,2655,4980,153,214,7397,235,998,996,1510,76,51,307,50,351,455,750,37,12,2,5,1457,1117,1858,160,73,37,446
2016-02-20,12606,3694,8525,433,192,6585,565,1991,1922,3451,131,60,178,93,1050,800,1770,68,5,3,4,2965,2094,3608,604,92,154,601
2016-02-21,11761,3437,8153,249,188,6027,581,1713,1231,2317,148,38,307,134,780,590,1289,44,18,15,4,2515,1563,2817,587,126,141,407
2016-02-22,7845,2291,5248,224,195,4135,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,0,0,0,0,0,0,0,1651,1386,2020,95,71,707,144,487,672,1072,43,20,16,8,2740,1647,2795,198,216,112,1066
2016-02-24,0,12402,3971,715,535,6866,315,0,3165,2814,117,58,69,107,0,2044,2044,0,0,0,0,316,3500,2530,695,262,305,24
2016-02-25,8414,2705,6176,416,311,4071,145,741,970,1360,76,54,206,15,376,491,823,26,4,6,8,1259,970,1710,359,71,87,2
2016-02-26,7926,2948,5738,293,277,4347,219,1106,1365,2087,73,56,217,38,382,465,806,27,2,9,3,1490,954,1770,310,116,79,169
2016-02-27,11837,4261,10081,461,267,4863,426,2357,1780,3526,188,96,266,61,977,823,1682,89,9,15,5,2629,1757,3685,286,103,116,196
2016-02-28,9577,2944,7505,429,292,3855,440,1856,1242,2171,435,75,338,79,747,510,1155,61,17,1,23,2267,1175,2699,265,54,124,300
2016-02-29,6541,2132,4134,273,302,3790,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,5477,2970,6108,164,130,1906,139,1491,1554,2444,188,74,275,64,3194,716,3840,44,10,5,11,2873,2305,3982,736,142,161,157
2016-03-02,6096,908,2227,175,161,4141,300,733,759,1031,174,42,209,36,2542,259,2757,18,13,3,10,849,505,713,397,96,61,87
2016-03-03,6015,994,2431,344,353,3650,231,910,904,1536,88,31,82,77,2783,405,3071,61,26,7,23,1090,722,1141,355,100,50,166
2016-03-04,9312,1377,3203,408,294,6454,330,1256,1040,1729,167,56,311,33,2925,546,3396,38,22,7,8,1518,967,1653,545,160,31,96
2016-03-05,5760,820,2347,266,248,3392,327,909,916,1454,120,42,181,28,2600,206,2732,51,13,5,5,1121,365,797,530,121,26,12
2016-03-06,13102,3081,9686,538,266,5071,622,2118,1234,2746,250,61,245,50,3622,752,4195,69,35,12,63,2953,1566,3426,609,188,98,198
2016-03-07,8665,1018,3523,486,234,5311,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,0,0,0,0,0,0,0,1244,758,1221,101,57,369,254,2647,301,2839,52,23,27,7,2459,1058,1737,993,235,233,319
2016-03-09,9771,924,3036,383,342,6798,136,732,697,1080,112,22,180,35,2596,304,2849,18,16,17,0,1152,553,899,356,175,117,158
2016-03-10,8054,931,3134,131,301,5120,299,700,532,850,65,29,267,21,2569,251,2751,29,16,24,0,1244,378,812,424,150,96,140
2016-03-11,9155,1384,2952,383,501,6181,522,800,1230,1666,89,36,212,27,2678,293,2829,30,24,15,73,1362,710,1130,537,168,107,130
2016-03-12,13023,3751,9253,895,526,5639,461,2111,1740,3281,189,66,206,109,3187,676,3681,76,31,45,30,2800,2127,3500,726,166,154,381
2016-03-13,11635,2488,7050,754,480,5446,393,1758,1208,2236,227,67,428,8,3056,579,3492,73,13,17,40,2633,1591,2788,647,250,80,459
2016-03-14,10124,1172,4047,757,269,5790,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,0,0,0,0,0,0,0,1780,855,1603,228,124,564,116,2936,500,3298,48,46,27,17,3156,1014,1645,1022,493,194,816
2016-03-16,12882,1466,3845,728,734,8670,371,1234,874,1616,74,58,274,86,2930,545,3340,51,51,13,20,1503,763,1387,317,179,68,315
2016-03-17,10230,1591,3273,405,621,7004,518,1207,938,1653,99,28,312,53,2847,431,3192,37,29,7,13,1919,906,1757,579,199,120,170
2016-03-18,10711,1788,4372,578,347,6894,308,1527,1326,2400,137,75,203,38,2958,503,3349,43,11,33,25,1870,846,1500,687,137,127,265
2016-03-19,18470,8194,17149,856,474,7782,403,4034,3527,6849,237,42,407,26,4604,1679,6174,50,27,10,22,4792,2828,6150,1236,112,100,22
2016-03-20,16353,5604,13663,417,422,7204,251,3058,2348,4694,160,93,360,99,4312,1240,5445,71,24,12,0,4592,2785,5752,816,298,97,414
2016-03-21,11931,1678,4830,730,614,7011,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,0,0,0,0,0,0,0,2301,998,2054,172,83,840,150,3165,663,3699,82,21,7,19,4123,2162,2856,1502,459,639,829
2016-03-23,13896,2747,6052,459,239,9453,440,1410,1092,1933,143,41,261,124,2957,499,3306,118,14,6,12,2189,1574,2389,639,206,151,378
2016-03-24,12176,3238,5802,402,293,8532,385,1311,1076,1878,109,53,299,48,2942,712,3547,61,1,6,39,2070,1919,2444,727,203,252,363
2016-03-25,12128,2754,6259,328,123,7900,272,1372,1382,2388,158,48,141,19,2980,674,3515,70,13,17,39,2512,1477,2263,896,289,125,416
2016-03-26,19543,6640,14573,855,466,9965,324,3205,2557,4937,296,52,424,53,4545,1396,5658,238,21,21,3,5042,3578,6841,1020,203,82,474
2016-03-27,18183,3961,10449,755,836,9402,702,2910,2080,4337,226,66,266,95,4528,1131,5453,87,16,22,81,5036,3036,6171,1042,265,154,440
2016-03-28,12967,3026,6368,498,699,7573,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,0,0,0,0,0,0,0,2464,1404,2397,206,74,1103,88,3231,762,3836,100,23,5,29,4816,2668,3943,1607,396,694,844
2016-03-30,166,21365,6234,1736,868,11542,1151,0,6127,6127,0,0,0,0,2333,5060,7393,0,0,0,0,3243,8019,6198,1650,514,2888,12
2016-03-31,14887,3615,6100,679,398,10767,558,2027,1394,2880,106,93,284,58,3486,1168,4457,72,7,91,27,3079,2268,3746,951,180,211,259
2016-04-01,13556,3844,8240,219,249,8180,512,2861,2260,4346,156,59,502,58,3941,1605,5415,65,11,28,27,3974,2924,5199,821,120,276,482
2016-04-02,21868,7061,16369,781,412,10539,828,5531,3831,8385,282,92,420,183,6901,2491,9246,83,10,45,8,8243,5816,11681,1459,250,251,418
2016-04-03,15116,3575,8223,467,350,9154,497,2138,1524,2908,213,100,393,48,4123,1069,5043,94,4,46,5,4890,3926,6870,1233,224,174,315
2016-04-04,13920,4381,8215,719,528,7896,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,0,0,0,0,0,0,0,3810,2146,4649,311,109,637,250,2856,2122,4380,180,31,272,115,6798,6071,9203,1223,338,489,1616
2016-04-06,14052,5904,9640,792,161,9084,279,3147,2484,5030,231,69,142,159,2212,2020,3946,87,14,163,22,4431,4850,7445,611,213,217,795
2016-04-07,11976,5891,7872,569,302,8572,552,2599,1702,3641,184,72,262,142,1727,1460,2913,104,7,159,4,3763,4080,6279,661,129,290,484
2016-04-08,12928,6094,8851,512,226,8540,893,3541,2653,5504,304,42,308,36,2212,2390,4231,118,14,197,42,4038,3617,6406,789,84,141,235
2016-04-09,21218,6524,13838,438,409,12084,973,4351,3289,6701,302,105,247,285,3646,3090,6454,105,17,128,32,6442,6566,11303,1060,111,195,339
2016-04-10,18309,5177,12030,758,555,9133,1010,4018,2620,5885,112,90,375,176,3681,2525,5947,76,6,164,13,5968,5913,10172,852,155,191,511
2016-04-11,13988,4858,8270,884,453,8381,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,0,0,0,0,0,0,0,3900,2676,4501,220,123,1014,718,2044,1833,3412,211,26,221,7,6120,5987,8235,1098,365,477,1932
2016-04-13,22153,5286,11184,927,470,13819,1039,3674,2422,5415,172,48,361,100,3003,2017,4712,65,5,228,10,5462,5054,8836,755,150,171,604
2016-04-14,82309,5375,74375,564,352,11811,582,1756,1472,2664,101,112,271,80,1095,1235,2099,85,14,130,2,3495,3076,4720,829,237,98,687
2016-04-15,14087,5349,7789,480,372,9915,880,2439,2977,4907,103,66,304,36,1425,1726,2832,233,11,74,1,5192,3493,7316,872,90,107,300
2016-04-16,19673,3850,8432,662,507,12841,1081,2596,2001,4029,165,55,148,200,1885,1212,2824,69,22,141,41,4347,2789,5406,1074,107,121,428
2016-04-17,21919,3430,9039,632,372,14542,764,2727,1598,3654,146,38,375,112,2080,918,2525,150,18,304,1,4216,2027,4388,809,112,183,751
2016-04-18,14977,4801,7812,630,447,10426,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,0,0,0,0,0,0,0,3484,3435,5174,167,265,962,351,1568,1787,2987,156,12,166,34,5429,5281,7948,1878,243,337,304
2016-04-20,16787,11977,13929,319,355,13464,697,1767,1761,2901,152,73,294,108,860,1250,1981,49,7,42,31,3014,2757,4256,848,104,159,404
2016-04-21,12749,10331,11534,437,601,9930,578,1320,1453,2457,87,48,146,35,646,880,1411,66,2,13,34,2314,3017,4370,400,68,103,390
2016-04-22,13710,7543,10290,414,191,9798,560,1772,2069,3339,120,72,249,61,902,978,1695,92,11,67,15,3147,3057,4923,711,119,133,318
2016-04-23,21522,4851,11564,580,473,13194,562,3833,2556,5579,204,67,389,150,2055,1339,3124,127,20,105,18,4857,2930,6025,1147,139,214,262
2016-04-24,17729,3790,9737,654,301,10023,804,3345,2363,4848,178,79,362,241,2296,1135,3103,139,27,130,32,4571,2535,5454,1204,164,156,128
2016-04-25,12677,7642,9309,897,213,9053,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-26,0,0,0,0,0,0,0,3401,4453,5945,232,76,1274,327,1114,1492,2309,159,15,68,55,6981,6496,8780,1007,177,2340,1173
2016-04-27,0,30415,14615,572,152,14398,678,0,7974,0,265,57,91,7561,0,4943,4580,363,0,0,0,1724,12175,11403,1526,333,559,78
2016-04-28,13762,11358,13912,374,108,10097,629,1922,2387,3909,70,36,270,24,879,1236,2019,62,14,12,8,3098,4504,6368,903,73,119,139
2016-04-29,14504,9014,12186,690,278,9376,988,2261,3206,4897,292,42,167,69,1077,2226,3162,91,5,30,15,3791,3912,6071,964,155,205,308
2016-04-30,22520,6415,13689,874,445,12958,969,3734,3761,6793,203,52,379,68,4046,1066,4952,66,20,47,27,6094,3374,7245,1297,168,344,414
2016-05-01,20778,5645,13517,846,393,10671,996,3649,2793,5403,368,100,445,126,4490,1297,5502,156,20,96,13,6118,3590,7493,1219,257,190,549
2016-05-02,12300,5301,7781,1299,605,7339,577,1030,815,1455,199,37,111,43,2638,245,2783,58,19,20,3,2141,705,1789,591,148,109,209
2016-05-03,2375,513,960,59,19,1810,40,871,1685,2060,145,53,234,64,2497,1081,3525,16,8,27,2,1731,2518,3149,556,78,224,242
2016-05-04,12799,10050,13766,423,493,7557,610,2243,2871,4386,269,105,212,142,3306,2602,5598,166,55,40,49,2540,2831,4081,766,141,125,258
2016-05-05,363,80785,54577,6195,2123,13724,4529,0,23232,22170,397,115,213,337,1749,23745,24837,57,13,577,10,2398,25617,24327,1449,282,1834,123
2016-05-06,368,16094,8781,295,169,6706,511,0,11127,10182,200,37,154,554,1933,7324,8930,37,25,255,10,2042,12114,12018,1371,344,405,18
2016-05-07,397,77457,55294,2837,931,13599,5193,0,17661,16223,627,37,139,635,2058,14076,15484,43,31,569,7,2359,17652,14677,3191,863,1257,23
2016-05-08,326,27723,16424,1882,415,8391,937,0,11940,10688,432,70,188,562,2336,9006,10874,25,31,409,3,2178,16968,16295,1968,234,592,57
2016-05-09,8766,5250,7468,520,206,5525,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-10,0,0,0,0,0,0,0,2128,1699,2246,163,86,1185,147,2267,935,3117,53,2,26,4,2647,4002,5077,742,101,218,511
2016-05-11,14756,11287,13773,692,319,10934,325,1939,2045,3359,203,71,300,51,2725,1813,4398,86,7,44,3,2795,2175,3921,665,112,58,214
2016-05-12,11572,10107,12367,982,318,7572,440,1729,2136,3308,192,54,271,40,2648,1657,4186,81,7,12,19,3243,4853,7112,544,94,139,207
2016-05-13,14170,12473,15089,320,319,9718,1197,1732,4068,5068,275,61,296,100,3106,2273,5285,66,16,12,0,3370,3467,5474,934,128,100,201
2016-05-14,20336,7192,14999,1017,429,10435,648,4304,3828,7345,268,93,352,74,4494,1667,5989,80,14,73,5,6138,4189,8632,1135,140,113,307
2016-05-15,11406,2774,6490,278,129,6551,732,1488,1765,2717,182,81,185,88,3094,723,3706,66,8,25,12,3357,1770,3745,907,156,94,225
2016-05-16,13226,6306,8090,936,611,9274,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-17,0,0,0,0,0,0,0,2645,2665,3759,295,60,1067,129,2497,1728,4074,126,13,8,4,4605,5059,6582,1245,180,663,994
2016-05-18,15619,9632,12550,269,237,11981,214,1804,2347,3559,114,125,305,48,2178,1129,3161,62,14,52,18,2693,2667,3900,875,94,108,383
2016-05-19,11778,8384,10518,569,276,8461,338,1572,1801,2768,142,94,325,44,2258,1351,3507,24,10,52,16,2658,3325,4671,760,140,73,339
2016-05-20,11615,8090,10471,349,294,8042,549,1536,2864,3810,206,68,258,58,2792,1372,4100,55,2,7,0,2607,3031,4132,901,115,100,390
2016-05-21,18012,6917,12274,573,273,11005,804,3249,3341,5714,243,76,484,73,3734,1057,4592,120,22,45,12,4771,3277,6069,1028,188,152,611
2016-05-22,14641,4785,10000,778,337,7546,765,2449,1837,3519,146,88,450,83,3378,822,4100,59,12,29,0,4094,2154,4565,1045,202,88,348
2016-05-23,11694,4189,8222,725,326,6191,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-24,0,0,0,0,0,0,0,2830,1641,2630,247,133,1385,76,2002,844,2662,60,11,106,7,3065,3272,4616,784,107,341,489
2016-05-25,246,26477,11524,1118,490,11877,1714,0,7953,7131,289,57,202,274,1582,2006,3462,0,0,0,126,1121,8956,7614,1485,351,608,19
2016-05-26,13367,6897,9722,564,164,8777,1037,1707,1809,2956,172,17,177,194,2105,1528,3453,90,11,73,6,2709,2451,3706,501,93,127,733
2016-05-27,13500,8011,11347,621,175,8784,584,3154,6166,8748,204,47,247,74,2940,1387,4230,63,4,24,6,2866,2941,4116,953,159,155,424
2016-05-28,17526,9164,14333,989,764,9336,1268,5671,8872,13848,265,73,184,173,3768,1154,4705,130,15,65,7,4665,3073,5622,1336,202,129,449
2016-05-29,14893,5609,11058,399,328,8141,576,2735,2122,4090,216,81,427,43,3506,752,4061,84,6,47,60,3895,2263,4643,600,222,131,562
2016-05-30,13701,4311,7060,1374,1022,7647,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,0,0,0,0,0,0,0,2842,1536,2319,307,59,1215,478,2230,962,3007,117,4,58,6,4031,2436,3395,1083,176,493,1320
2016-06-01,12305,5004,8678,316,128,7658,529,1469,1360,2193,193,33,221,189,2178,631,2685,97,2,17,8,2304,1634,2494,674,169,96,505
2016-06-02,10763,4304,7287,649,186,6265,680,1359,1681,2596,131,81,168,64,2011,854,2748,96,10,5,6,2545,1281,2519,557,70,118,562
2016-06-03,9636,3676,5198,441,162,6736,775,2287,2248,4044,121,35,296,39,460,1092,1481,55,6,7,3,3039,1820,3675,844,71,98,171
2016-06-04,18438,6244,13895,602,421,9005,759,5430,2733,7631,168,57,191,116,1513,1071,2448,66,25,25,20,4229,2993,5896,490,102,82,652
2016-06-05,19304,6506,15967,552,261,8562,468,6270,2952,8303,170,66,573,110,1735,1074,2655,53,1,68,32,5040,2966,6671,928,88,186,133
2016-06-06,14713,6050,12171,859,320,6347,1066,4165,2354,6177,73,31,190,48,1230,876,2014,42,2,42,6,3398,2346,5069,391,56,61,167
2016-06-07,0,0,0,0,0,0,0,3047,5011,6670,144,53,988,203,619,838,1321,109,5,10,12,3299,2147,3191,976,117,660,502
2016-06-08,12895,4208,6618,444,190,9068,783,2235,1999,3647,89,65,343,90,434,504,864,51,4,11,8,2127,1034,1815,813,107,227,199
2016-06-09,12623,5204,7607,469,206,9044,501,2254,1867,3503,117,83,302,116,408,672,1009,34,5,32,0,2425,1355,2473,799,88,182,238
2016-06-10,13677,3242,5183,789,459,9453,1035,2672,2311,4341,131,44,459,8,568,562,886,52,15,174,3,2677,1605,2598,762,126,232,564
2016-06-11,15628,4011,8728,599,507,9069,736,3413,2519,5514,108,75,170,65,926,650,1446,61,9,56,4,3619,2195,4149,915,184,211,355
2016-06-12,14880,3195,8197,333,182,8786,577,3847,2224,5212,150,36,491,182,997,4339,5140,136,13,32,15,3652,7386,9541,905,154,174,264
2016-06-13,11595,2045,4685,487,210,7807,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-14,0,0,0,0,0,0,0,3425,1653,3240,175,136,1433,94,4639,569,5076,61,28,25,18,7817,2040,7148,1289,227,404,789
2016-06-15,15196,2147,4356,53,131,12482,321,1587,1124,2337,79,47,207,41,315,211,394,73,0,57,2,1912,598,1620,387,124,77,302
2016-06-16,13954,2742,5474,616,190,9967,449,2399,2657,4356,199,64,305,132,477,361,746,20,3,58,11,2267,798,1551,956,103,207,248
2016-06-17,12121,3194,6125,543,220,8050,377,2972,1934,4374,114,79,301,38,485,540,958,38,5,11,13,2680,1038,2101,898,97,158,464
2016-06-18,17267,3944,9215,504,237,10330,925,4816,2887,6964,149,81,485,24,1041,871,1778,63,9,52,10,3758,1704,3625,941,222,120,554
2016-06-19,14640,3246,8950,579,211,7663,483,3370,2026,4883,165,88,184,76,905,686,1523,55,1,12,0,3610,1508,3261,1143,184,177,353
2016-06-20,12370,2149,4894,806,249,8081,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-21,0,0,0,0,0,0,0,3480,3714,5532,233,101,1089,239,735,450,895,105,57,104,24,4029,1984,3284,1926,148,331,324
