날짜,이산화질소농도,오존농도,이산화탄소농도,아황산가스,미세먼지,초미세먼지,평균기온,최고기온,일강수량,최대풍속,평균풍속,최소상대습도,평균상대습도,가조시간,합계일조시간,1시간최다일사량,합계일사량,일최심적설,평균전운량,99강수,안개계속시간,미세먼지_기준,초미세먼지_기준,강수여부,적설여부,안개여부,휴일여부,따릉이
2019-03-07,0.037,0.03,0.6,0.003,62,45,7,12.7,0,5.1,2.2,26,51.1,11.6,10.1,2.45,15.76,0,1.5,0,0,2,3,0,0,0,0,31156
2019-03-08,0.037,0.027,0.5,0.004,42,25,6.1,13.4,0,4.2,1.9,17,39.4,11.6,10.7,2.71,18.67,0,0.1,0,0,2,2,0,0,0,0,33073
2019-03-09,0.056,0.015,0.6,0.005,40,27,7.2,14.9,0,3,1.3,10,31.8,11.7,9.7,1.91,14.44,0,5.4,0,0,2,2,0,0,0,1,32421
2019-03-10,0.045,0.024,0.6,0.004,51,34,10.1,15.3,0,2.9,1.2,12,26.4,11.7,0.3,1.62,8.91,0,7.1,0,0,2,2,0,0,0,1,31050
2019-03-11,0.044,0.021,0.6,0.004,67,47,6.6,10,0,4.3,1.8,38,61,11.8,3.6,1.51,9.72,0,4.9,0,0,2,3,0,0,0,0,28539
2019-03-12,0.025,0.036,0.5,0.003,81,51,3.9,7.9,0,6,2.7,21,55.1,11.8,1.8,1.16,5.15,0,4.9,0,0,3,3,0,0,0,0,25537
2019-03-13,0.022,0.032,0.3,0.003,40,12,3.5,8.5,0,7.2,3.3,14,38.5,11.8,10.1,2.8,17.87,0,1.8,0,0,2,1,0,0,0,0,28653
2019-03-14,0.029,0.032,0.4,0.003,41,19,5,10,0,3.8,1.9,18,45.3,11.9,7,2.34,14.02,0,5.5,0,0,2,2,0,0,0,0,30997
2019-03-15,0.035,0.028,0.4,0.003,56,32,5.5,11.3,3.5,5.4,1.6,24,72.8,11.9,2.8,1.58,9.93,0,7.4,3.5,0,2,2,1,0,0,0,20481
2019-03-16,0.026,0.029,0.4,0.003,43,30,4.3,9.2,0,5.1,1.8,38,69.9,12,5,2.39,11.76,0,5.5,0,0,2,2,0,0,0,1,26057
2019-03-17,0.025,0.032,0.4,0.003,37,23,6.3,12.4,0,4.4,2,24,55.4,12,9.9,2.87,19.62,0,2,0,0,2,2,0,0,0,1,35622
2019-03-18,0.047,0.016,0.5,0.005,36,21,7.1,14.4,0,4.7,1.4,20,43.8,12,8.7,2.55,16.33,0,6.3,0,0,2,2,0,0,0,0,36313
2019-03-19,0.055,0.02,0.7,0.006,63,41,10,16.7,0,3.3,1.4,20,52,12.1,8.3,2.3,15.01,0,1.4,0,0,2,3,0,0,0,0,39908
2019-03-20,0.057,0.018,0.8,0.004,91,69,10.3,14.6,16.5,3.9,1.4,42,79,12.1,0,0.78,4.38,0,8.8,19.8,0,3,3,1,0,0,0,16204
2019-03-21,0.023,0.037,0.4,0.003,34,26,7.1,11.1,3.3,5.5,2.9,49,77.4,12.2,3.9,1.33,7.51,0,7.9,0,1.4,2,2,1,0,1,0,26455
2019-03-22,0.016,0.037,0.3,0.002,36,21,3.3,8.3,0,5,2.8,20,40.9,12.2,11.1,3.05,21.87,0,0.8,0,0,2,2,0,0,0,0,32363
2019-03-23,0.022,0.033,0.4,0.003,25,16,3.3,8.2,1.7,6.3,2.4,25,46.9,12.2,7.9,2.05,12.62,0,3,1.7,0,1,2,1,0,0,1,21696
2019-03-24,0.019,0.037,0.3,0.003,29,15,4.3,9.7,0,4.9,2.3,27,45.4,12.3,11.3,2.98,22.16,0,0.1,0,0,1,2,0,0,0,1,31622
2019-03-25,0.031,0.037,0.4,0.004,46,29,7.3,11.5,0,5.1,2,43,56.1,12.3,1.7,1.05,7.53,0,6.6,0,0,2,2,0,0,0,0,34226
2019-03-26,0.035,0.034,0.4,0.004,55,35,11.4,17.6,0,4.7,2,23,51.1,12.4,9.9,2.96,20.42,0,2.6,0,0,2,3,0,0,0,0,42644
2019-03-27,0.023,0.056,0.5,0.005,87,60,11.6,16.2,0,6.4,3,44,66.4,12.4,3.4,2.08,10.84,0,8.5,0,0,3,3,0,0,0,0,35832
2019-03-28,0.031,0.035,0.5,0.004,79,52,9.4,14.6,0,4.8,2.6,16,49.9,12.4,9.9,2.79,18.21,0,6.1,0,0,2,3,0,0,0,0,38806
2019-03-29,0.027,0.038,0.4,0.003,39,21,9.2,15.1,0,4.7,2.1,17,33.1,12.5,10.5,3.01,21.22,0,4.6,1.6,0,2,2,0,0,0,0,43893
2019-03-30,0.019,0.041,0.4,0.002,36,25,5.2,8.4,1.8,6.3,2.9,35,72,12.5,3,1.34,6.76,0,9.4,0.2,0,2,2,1,0,0,1,14001
2019-03-31,0.016,0.039,0.4,0.002,44,29,4.4,8.4,0,5.5,3.2,20,46,12.6,3.2,2.02,8.22,0,5.1,0,0,2,2,0,0,0,1,22326
2019-04-01,0.024,0.034,0.3,0.003,24,13,5.5,11.3,0,5.8,2.5,15,39.8,12.6,11.7,3.23,23.42,0,1.3,0,0,1,1,0,0,0,0,37660
2019-04-02,0.027,0.034,0.4,0.003,31,18,6.7,13,0,6.1,2.2,15,36.9,12.6,11.7,3.08,22.96,0,0.3,0,0,2,2,0,0,0,0,42029
2019-04-03,0.031,0.034,0.4,0.003,37,23,7.6,13.6,0,5,2.3,14,36.1,12.7,11.7,3,22.61,0,0.3,0,0,2,2,0,0,0,0,43257
2019-04-04,0.024,0.041,0.4,0.004,34,20,9.2,15.7,0,5,2.5,21,43,12.7,11.7,3.06,22.72,0,0,0,0,2,2,0,0,0,0,45681
2019-04-05,0.026,0.041,0.4,0.003,74,25,11.4,17.2,0,5.4,2.9,13,41,12.8,9.3,3.03,20.11,0,3,0,0,2,2,0,0,0,0,45643
2019-04-06,0.049,0.015,0.5,0.003,57,20,9.3,12.2,0.8,2.8,1.1,21,39.9,12.8,0.5,0.91,4.48,0,8.5,0.8,0,2,2,1,0,0,1,25902
2019-04-07,0.03,0.03,0.4,0.003,39,18,12.6,20.3,0,4.8,1.7,12,43.1,12.8,11.4,2.99,21.77,0,4.4,0,0,2,2,0,0,0,1,55943
2019-04-08,0.025,0.035,0.3,0.003,36,13,11.6,17.2,0,5.2,2.5,10,25.6,12.9,10.9,3.25,23.74,0,3.3,0,0,2,1,0,0,0,0,52643
2019-04-09,0.029,0.028,0.3,0.003,26,12,9.2,13.9,17.4,4.4,2.4,16,49.1,12.9,0.8,1.22,5.64,0,9.4,21.6,0,1,1,1,0,0,0,24734
2019-04-10,0.025,0.031,0.3,0.002,8,4,7.1,10.2,5.6,3.1,1.8,61,78.4,12.9,1.1,1.14,6.98,0,8.3,1.4,0,1,1,1,0,0,0,26421
2019-04-11,0.035,0.025,0.4,0.003,26,16,9.5,15.7,0,4.7,1.9,17,58,13,9.8,3.1,20.94,0,4.6,0,0,1,2,0,0,0,0,51013
2019-04-12,0.035,0.037,0.4,0.004,45,28,11.4,18.4,0,5.1,2.2,19,48.5,13,11.4,3.17,23.73,0,1.8,0,0,2,2,0,0,0,0,55125
2019-04-13,0.032,0.044,0.4,0.003,40,25,11.8,17.9,0,5,1.8,14,34,13.1,10.8,3.06,22.96,0,5.6,0.1,0,2,2,0,0,0,1,57020
2019-04-14,0.023,0.043,0.4,0.003,39,21,9.6,13.6,1.7,7.3,2.2,20,45.5,13.1,5,1.89,8.35,0,6,1.6,0,2,2,1,0,0,1,28467
2019-04-15,0.034,0.034,0.4,0.004,49,16,11.6,18.1,0,4.7,1.8,13,30.9,13.2,12.1,3.09,24.07,0,0,0,0,2,2,0,0,0,0,55422
2019-04-16,0.046,0.029,0.5,0.004,45,21,14.9,22.6,0,4.1,1.6,10,26.3,13.2,11.5,3.28,23.58,0,4.8,0,0,2,2,0,0,0,0,60566
2019-04-17,0.039,0.034,0.5,0.004,38,19,15.3,21.8,0,4.9,1.9,16,37.5,13.2,12.2,3.23,24.94,0,3.9,0,0,2,2,0,0,0,0,62522
2019-04-18,0.03,0.029,0.4,0.004,37,21,12.6,16.2,0,5.3,2,55,74.4,13.3,1.5,1.05,5.88,0,6.3,0,0,2,2,0,0,0,0,50439
2019-04-19,0.03,0.025,0.4,0.002,43,21,13.8,19.7,0,3.2,1.6,31,57.5,13.3,5.9,2.96,15.84,0,4.8,0,0,2,2,0,0,0,0,60925
2019-04-20,0.024,0.036,0.4,0.003,44,22,14.3,19.1,1.2,4.5,1.9,40,66.9,13.3,5,2.55,14.63,0,7.1,1.5,0,2,2,1,0,0,1,51068
2019-04-21,0.021,0.036,0.4,0.002,29,21,14.8,20.2,0.3,4.2,1.9,53,77.8,13.4,4.1,2.5,13.42,0,7.9,0,0,1,2,1,0,0,1,53339
2019-04-22,0.049,0.025,0.6,0.003,87,36,19.3,28.2,0,4.2,1.4,18,50.6,13.4,11.1,3.09,23.42,0,2.3,0,0,3,3,0,0,0,0,63995
2019-04-23,0.042,0.037,0.6,0.005,78,37,20.4,25.5,0,3.8,1.3,36,52,13.4,4.2,2.16,13.14,0,8.4,4.1,0,2,3,0,0,0,0,58811
2019-04-24,0.032,0.026,0.5,0.003,50,32,19.5,25.9,4.1,4.5,1.6,42,70.4,13.5,8,2.74,18.91,0,5,0,0,2,2,1,0,0,0,55815
2019-04-25,0.029,0.02,0.4,0.003,38,17,13.2,17.2,11.3,3.6,2,51,75.9,13.5,0,0.69,3.48,0,9.4,15.3,0,2,2,1,0,0,0,22471
2019-04-26,0.022,0.029,0.3,0.002,13,6,8.4,9.9,4.9,3.5,1.5,65,82.1,13.6,0,0.48,3.51,0,8,0.9,0,1,1,1,0,0,0,26484
2019-04-27,0.028,0.026,0.4,0.002,20,10,11.6,18.2,0,3.6,1.7,25,52.6,13.6,10.3,3.24,23.24,0,4.8,0,0,1,1,0,0,0,1,65124
2019-04-28,0.022,0.035,0.4,0.003,20,12,12.9,16.6,0,3.7,1.6,33,48.8,13.6,3.4,2.56,12.09,0,8.1,0,0,1,1,0,0,0,1,56012
2019-04-29,0.044,0.019,0.5,0.003,26,16,13,17.3,0,2,0.9,36,52.9,13.7,3.3,1.35,9.81,0,5.8,0,0,1,2,0,0,0,0,63256
2019-04-30,0.039,0.03,0.5,0.003,33,19,15.5,22.5,0,4.2,1.6,29,52.8,13.7,11.2,2.67,21.75,0,4.4,0,0,2,2,0,0,0,0,70213
2019-05-01,0.025,0.04,0.4,0.004,57,24,16.4,22.2,0,4.8,2.3,28,48.9,13.7,10.9,3.15,24.41,0,1.9,0,0,2,2,0,0,0,0,76439
2019-05-02,0.021,0.04,0.4,0.003,51,15,17.1,25.3,0,5.1,2.3,14,28.5,13.8,12.7,3.4,27.27,0,0,0,0,2,2,0,0,0,0,72430
2019-05-03,0.037,0.044,0.5,0.005,58,28,17.9,26.1,0,4.4,1.6,17,37.5,13.8,12.4,3.19,25.59,0,0,0,0,2,2,0,0,0,0,73647
2019-05-04,0.044,0.048,0.6,0.005,81,51,19.5,27.4,0,4.1,1.7,18,40.4,13.8,10.7,2.85,22.12,0,4.9,0,0,3,3,0,0,0,1,66392
2019-05-05,0.032,0.051,0.5,0.004,59,36,19.2,26.5,0,5.3,2.2,12,35.8,13.9,11.1,3.29,25.14,0,5.1,0,0,2,3,0,0,0,1,66911
2019-05-06,0.013,0.04,0.3,0.003,36,10,14.5,19.8,0,5.3,3.1,12,27.1,13.9,12.8,3.46,28.25,0,0.3,0,0,2,1,0,0,0,0,74806
2019-05-07,0.025,0.041,0.4,0.004,43,16,15,21.9,0,5,2.3,16,33.4,13.9,12.9,3.36,27.02,0,0,0,0,2,2,0,0,0,0,70506
2019-05-08,0.023,0.049,0.4,0.004,46,22,15.6,21.3,0,5.1,2.3,31,48.3,14,12.2,3.12,23.39,0,6.1,0,0,2,2,0,0,0,0,70426
2019-05-09,0.024,0.043,0.4,0.004,39,21,16.6,22.9,0,4.5,2.2,19,43.3,14,12.1,3.17,25.46,0,3.1,0,0,2,2,0,0,0,0,71707
2019-05-10,0.042,0.04,0.5,0.004,56,32,17.8,26.8,0,4.1,1.9,28,48,14,12.3,3.2,25.19,0,3.5,0,0,2,2,0,0,0,0,74960
2019-05-11,0.046,0.035,0.6,0.004,57,33,20.3,28.3,0,3.9,1.8,22,39,14.1,12.7,3.19,25.19,0,2,0,0,2,2,0,0,0,1,76110
2019-05-12,0.033,0.05,0.5,0.004,50,33,21.6,28.9,0,3.1,1.5,24,36,14.1,12,2.61,21.82,0,4.3,0,0,2,2,0,0,0,1,73318
2019-05-13,0.038,0.039,0.5,0.005,54,33,18.7,22.8,0,4.9,1.6,29,43.4,14.1,1,0.97,8.51,0,8.3,0,0,2,2,0,0,0,0,68389
2019-05-14,0.027,0.04,0.4,0.006,47,33,19.6,26.9,0,4.1,1.6,24,44.5,14.2,13,3.25,25.35,0,1.6,0,0,2,2,0,0,0,0,78385
2019-05-15,0.034,0.041,0.5,0.005,61,42,20.7,28,0,3.9,1.7,23,48.1,14.2,8.4,2.93,21.24,0,4.5,0,0,2,3,0,0,0,0,76969
2019-05-16,0.036,0.037,0.5,0.005,64,42,23.5,30,0,4.1,1.5,25,43.8,14.2,12.5,3.06,25.19,0,2.5,0,0,2,3,0,0,0,0,75399
2019-05-17,0.052,0.029,0.5,0.005,60,44,23.6,28.3,0,3.2,1.2,31,44.9,14.2,4.2,1.96,14.72,0,7.5,0,0,2,3,0,0,0,0,79158
2019-05-18,0.02,0.034,0.3,0.004,32,20,22.8,25.9,0,4.8,2.1,38,46.8,14.3,4.3,1.99,16.28,0,8.5,5.1,0,2,2,0,0,0,1,79583
2019-05-19,0.013,0.021,0.3,0.002,17,10,19.4,21.6,22,2.7,1.2,55,93,14.3,0,1.1,5.22,0,10,25.6,0,1,1,1,0,0,1,12749
2019-05-20,0.014,0.033,0.3,0.003,35,10,16.4,20.2,8.7,6.1,3.4,33,63.6,14.3,10.5,3.59,24.95,0,4.5,0,0,2,1,1,0,0,0,72066
2019-05-21,0.018,0.047,0.4,0.004,48,16,17.2,23.8,0,5.9,2.9,22,52,14.3,13.1,3.46,28.89,0,0,0,0,2,2,0,0,0,0,80599
2019-05-22,0.021,0.052,0.4,0.004,50,24,19.5,26.5,0,5.4,2.4,19,46,14.4,12.6,3.42,27.5,0,1.4,0,0,2,2,0,0,0,0,80735
2019-05-23,0.028,0.054,0.6,0.006,64,38,22.1,29.2,0,3.5,1.7,16,45,14.4,13.2,3.29,27.36,0,0,0,0,2,3,0,0,0,0,78504
2019-05-24,0.042,0.059,0.6,0.005,79,51,24.2,33.4,0,4.1,1.7,27,46.4,14.4,12.7,3.21,26.13,0,1.4,0,0,2,3,0,0,0,0,77190
2019-05-25,0.025,0.051,0.6,0.005,73,52,23.4,28.6,0,4.2,1.6,15,45.6,14.4,7.1,2.45,18.83,0,7.9,0,0,2,3,0,0,0,1,75791
2019-05-26,0.02,0.046,0.4,0.004,38,24,24.5,31.1,0,4.5,1.8,21,39,14.5,11,3.22,25.81,0,6,3.6,0,2,2,0,0,0,1,74327
2019-05-27,0.015,0.032,0.3,0.002,23,14,17.8,22.3,7.1,5.3,2.4,42,80.9,14.5,0,0.34,2.33,0,8.6,3.5,0,1,1,1,0,0,0,30670
2019-05-28,0.017,0.036,0.3,0.003,22,9,18.1,24.6,0,4.9,2.6,20,45.9,14.5,13,3.51,28.01,0,2.1,0,0,1,1,0,0,0,0,83654
2019-05-29,0.027,0.044,0.4,0.004,42,21,20.3,26.5,0,4.9,2,21,48.4,14.5,13.3,3.42,28.48,0,0.4,0,0,2,2,0,0,0,0,83496
2019-05-30,0.025,0.048,0.4,0.004,42,23,19.6,24.5,0,5.4,2.4,31,48,14.5,7,2.83,18.28,0,7.9,0,0,2,2,0,0,0,0,73814
